code,date,BonusShares,Allotment,AllotmentPrice,Dividends
SH600018,20060515,0,0,0,0.36
SH600018,20061026,3.5,0,0,0
SH600018,20070622,0,0,0,0.076
SH600018,20080612,0,0,0,0.085
SH600018,20090622,0,0,0,0.102
SH600018,20100702,0,0,0,0.094
SH600018,20110714,0,0,0,0.108
SH600018,20120711,0,0,0,0.118
SH600018,20130724,0,0,0,0.134
SH600018,20140729,0,0,0,0.127
SH600018,20150515,0,0,0,0.154
SH600018,20160719,0,0,0,0.154
SH600018,20170718,0,0,0,0.156
SH600018,20180608,0,0,0,0.172
SH600018,20190628,0,0,0,0.154
SH600019,20010612,0,0,0,0.05
SH600019,20020619,0,0,0,0.125
SH600019,20030618,0,0,0,0.2
SH600019,20040621,0,0,0,0.25
SH600019,20050613,0,0,0,0.32
SH600019,20050818,0.22,0,0,0
SH600019,20060525,0,0,0,0.32
SH600019,20070529,0,0,0,0.35
SH600019,20080513,0,0,0,0.35
SH600019,20090615,0,0,0,0.18
SH600019,20100524,0,0,0,0.2
SH600019,20110609,0,0,0,0.3
SH600019,20120611,0,0,0,0.2
SH600019,20130618,0,0,0,0.1383
SH600019,20140630,0,0,0,0.1
SH600019,20150514,0,0,0,0.18
SH600019,20160608,0,0,0,0.06
SH600019,20170614,0,0,0,0.21
SH600019,20180608,0,0,0,0.45
SH600019,20190531,0,0,0,0.5
SH600020,20040709,0,0,0,0.5
SH600020,20050727,0,0,0,0.1
SH600020,20060622,0.308,0,0,0.069
SH600020,20060630,0.5,0,0,0.1
SH600020,20070705,0.17,0,0,0
SH600020,20080707,0.15,0,0,0.02
SH600020,20090612,0.01,0,0,0.05
SH600020,20100601,0,0,0,0.06
SH600020,20110727,0,0,0,0.1
SH600020,20120628,0.05,0,0,0.01
SH600020,20130702,0,0,0,0.1
SH600020,20140710,0,0,0,0.055
SH600020,20150618,0,0,0,0.12
SH600020,20160718,0,0,0,0.16
SH600020,20170704,0,0,0,0.088
SH600020,20180713,0,0,0,0.168
SH600020,20190712,0,0,0,0.109
SH600021,20040621,0,0,0,0.016
SH600021,20050517,0,0,0,0.21
SH600021,20051125,0.32,0,0,0
SH600021,20060515,0,0,0,0.2
SH600021,20070522,0,0,0,0.2
SH600021,20080617,0.2,0,0,0
SH600021,20110519,0,0,0,0.05
SH600021,20120710,0,0,0,0.05
SH600021,20130717,0,0,0,0.15
SH600021,20140730,0,0,0,0.2
SH600021,20150722,0,0,0,0.25
SH600021,20160729,0,0,0,0.25
SH600021,20170623,0,0,0,0.18
SH600021,20180518,0,0,0,0.2
SH600021,20190613,0,0,0,0.33
SH600022,20050527,0,0,0,0.5
SH600022,20060424,0.3,0,0,0
SH600022,20060623,0.2,0,0,0.4
SH600022,20070628,0.2,0,0,0.3
SH600022,20080424,0,0,0,0.6
SH600022,20090423,0.8,0,0,0.05
SH600022,20170608,0.3,0,0,0
SH600023,20140619,0.3,0,0,0.2
SH600023,20150623,0,0,0,0.25
SH600023,20160623,0,0,0,0.27
SH600023,20170615,0,0,0,0.23
SH600023,20180723,0,0,0,0.17
SH600023,20190618,0,0,0,0.18
SH600025,20180627,0,0,0,0.055
SH600025,20190705,0,0,0,0.178
SH600026,20030618,0,0,0,0.1
SH600026,20040621,0,0,0,0.15
SH600026,20050621,0,0,0,0.15
SH600026,20051230,0.29,0,0,0
SH600026,20060612,0,0,0,0.3
SH600026,20070625,0,0,0,0.3
SH600026,20080625,0,0,0,0.5
SH600026,20090622,0,0,0,0.3
SH600026,20100702,0,0,0,0.1
SH600026,20110613,0,0,0,0.17
SH600026,20120601,0,0,0,0.1
SH600026,20150703,0,0,0,0.03
SH600026,20160614,0,0,0,0.1
SH600026,20170703,0,0,0,0.19
SH600026,20180713,0,0,0,0.05
SH600026,20190628,0,0,0,0.02
SH600027,20050624,0,0,0,0.035
SH600027,20060619,0,0,0,0.065
SH600027,20060801,0.3,0,0,0
SH600027,20070626,0,0,0,0.062
SH600027,20080718,0,0,0,0.062
SH600027,20100702,0,0,0,0.035
SH600027,20130722,0,0,0,0.065
SH600027,20140617,0,0,0,0.225
SH600027,20150619,0,0,0,0.27
SH600027,20160624,0,0,0,0.3
SH600027,20170731,0,0,0,0.136
SH600027,20180727,0,0,0,0.018
SH600027,20190730,0,0,0,0.066
SH600028,20020722,0,0,0,0.08
SH600028,20020923,0,0,0,0.02
SH600028,20030623,0,0,0,0.06
SH600028,20030922,0,0,0,0.03
SH600028,20040607,0,0,0,0.06
SH600028,20040921,0,0,0,0.04
SH600028,20050606,0,0,0,0.08
SH600028,20050921,0,0,0,0.04
SH600028,20060619,0,0,0,0.09
SH600028,20060914,0,0,0,0.04
SH600028,20061010,0.28,0,0,0
SH600028,20070618,0,0,0,0.11
SH600028,20070919,0,0,0,0.05
SH600028,20080616,0,0,0,0.115
SH600028,20080922,0,0,0,0.03
SH600028,20090615,0,0,0,0.09
SH600028,20090922,0,0,0,0.07
SH600028,20100617,0,0,0,0.11
SH600028,20100913,0,0,0,0.08
SH600028,20110620,0,0,0,0.13
SH600028,20110919,0,0,0,0.1
SH600028,20120528,0,0,0,0.2
SH600028,20120917,0,0,0,0.1
SH600028,20130619,0.3,0,0,0.2
SH600028,20130912,0,0,0,0.09
SH600028,20140603,0,0,0,0.15
SH600028,20140924,0,0,0,0.09
SH600028,20150619,0,0,0,0.11
SH600028,20150923,0,0,0,0.09
SH600028,20160624,0,0,0,0.06
SH600028,20160921,0,0,0,0.079
SH600028,20170719,0,0,0,0.17
SH600028,20170920,0,0,0,0.1
SH600028,20180605,0,0,0,0.4
SH600028,20180912,0,0,0,0.16
SH600028,20190611,0,0,0,0.26
SH600028,20190917,0,0,0,0.12
SH600029,20070618,0.16,0,0,0
SH600029,20080829,0.5,0,0,0
SH600029,20120709,0,0,0,0.2
SH600029,20130719,0,0,0,0.05
SH600029,20140731,0,0,0,0.04
SH600029,20150806,0,0,0,0.04
SH600029,20160701,0,0,0,0.08
SH600029,20170726,0,0,0,0.1
SH600029,20180712,0,0,0,0.1
SH600029,20190724,0,0,0,0.05
